author,year,title,journal,doi,Loon_Lens_Confidence_Level,Loon_Lens_Decision,Human_Decision,Loon_Lens_Reasoning
"Chen, Hong and Kwong, Jeffrey C and Copes, Ray and Tu, Karen and Villeneuve, Paul J and van Donkelaar, Aaron and Hystad, Perry and Martin, Randall V and Murray, Brian J and Jessiman, Barry and Wilton, Andrew S and Kopp, Alexander and Burnett, Richard T",2017,"Living near major roads and the incidence of dementia, Parkinson's disease, and multiple sclerosis: a population-based cohort study",The Lancet,10.1016/s0140-6736(16)32399-6,MEDIUM,INCLUDE,EXCLUDE," ## Analysis and This is a large population-based cohort study (primary observational study) examining the incidence of dementia, Parkinson's disease, and multiple sclerosis in approximately 6.5 million Ontario adults in relation to residential proximity to major roadways. The PEO framework applies: Population = Ontario adults; Exposure = road proximity + air pollutants (NO2, PM2.5); Outcomes = dementia, Parkinson's disease, multiple sclerosis. and ### Per-Label Synthesis and **Population (NOT_TRIGGERED):** Clearly a primary observational cohort study of a human population—no exclusion issue. and **Language (NOT_TRIGGERED):** Article is in English. and **Study design (NOT_TRIGGERED):** Explicitly a 'population-based cohort study,' a type of longitudinal observational study. and **Exposure (NOT_TRIGGERED):** NO2 is one of the three specified air pollutants (CO, O3, NO2). The study explicitly models NO2 in sensitivity analyses for all three outcomes including Parkinson's disease. The Discussion states: 'Importantly, NO₂ was significantly associated with dementia, whereas PM₂.₅ was associated with both dementia and Parkinson's disease (appendix).' The inclusion criterion requires only that at least one of the three pollutants be mentioned, and that Parkinson's be investigated in relation to at least one. Both conditions are satisfied: NO2 is measured, its association with Parkinson's disease is investigated in the sensitivity analysis models, and results are reported (in the appendix). and **Outcome (NOT_TRIGGERED):** Parkinson's disease is a primary outcome. The study investigates Parkinson's disease in relation to road proximity—a multifaceted exposure explicitly described as including nitrogen oxides—and explicitly links NO2 and PM2.5 to Parkinson's disease in sensitivity analyses. and ### Prior Reviewer Deliberation"
"Chen, Szu-Ju and Pan, Shih-Chun and Wu, Chih-Da and Li, Hsun and Guo, Yue Leon and Lin, Chin-Hsien",2024,Long-term exposure to multiple air pollutants and risk of Parkinson's disease: a population-based multipollutant model study,"Journal of Neurology, Neurosurgery, and Psychiatry",10.1136/jnnp-2024-334825,VERY_HIGH,INCLUDE,INCLUDE," The study meets all inclusion criteria. It is a primary observational study, specifically a retrospective population-based cohort study conducted on a human population in Taiwan, which aligns with the study design criterion. The article is written in English. It explicitly investigates the health effects of several air pollutants, including the required pollutants of Nitrogen Dioxide (NO2), Ozone (O3), and Carbon Monoxide (CO), as detailed in the abstract and methods section. The primary outcome is the incidence of Parkinson's disease (PD), which is clearly defined and investigated as an adverse health outcome. Finally, the core research question of the study is the association between long-term exposure to these air pollutants and the risk of developing PD, thus satisfying all conditions for inclusion."
"Chirumbolo, Salvatore and Bjørklund, Geir and Urbina, Mauricio A.",2016,May traffic air pollution be involved in autism spectrum disorder?,Environmental Research,10.1016/j.envres.2016.12.023,VERY_HIGH,EXCLUDE,EXCLUDE," The article is a 'Dear Editor' letter, which is a commentary or opinion piece, not a primary or secondary observational study of a human population. While it discusses and references various observational studies, including some that link air pollution (specifically NO2) to Parkinson's disease, the article itself does not present original research or a systematic review/meta-analysis. Therefore, it does not meet the inclusion criterion requiring 'Primary or secondary observational studies of a human population'. and Exclusion labels: study_design"
"Choi, II Saing",2001,Carbon Monoxide Poisoning: Systemic Manifestations and Complications,J Korean Med Sci,NA,VERY_HIGH,EXCLUDE,EXCLUDE," The article is a 'REVIEW' as explicitly stated on page 1. The inclusion criteria specify 'Primary or secondary observational studies of a human population'. A review article, by its nature, synthesizes existing research rather than conducting a primary or secondary observational study itself. Therefore, it does not meet the required study design criterion. and Exclusion labels: study_design"
"Choi, II Saing",2002,Parkinsonism after Carbon Monoxide Poisoning,European Neurology,10.1159/000057100,LOW,INCLUDE,EXCLUDE," ## Analysis and This article is a primary observational study (retrospective cohort analysis) of 242 human patients with carbon monoxide (CO) poisoning, investigating the occurrence of parkinsonism as an adverse neurological sequela. It is written in English and published in European Neurology (2002). The PEO (Population, Exposure, Outcome) framework is most applicable here: Population = patients with CO poisoning; Exposure = carbon monoxide; Outcome = parkinsonism. and ### Per-Label Synthesis and **Population (NOT_TRIGGERED):** The study clearly involves a human population (242 patients with CO poisoning at a hospital). This is unambiguously a primary observational study of humans. and **Exposure (NOT_TRIGGERED):** Carbon monoxide (CO) is one of the three explicitly specified air pollutants in the inclusion criteria. It is the central exposure of the entire study. and **Study Design (NOT_TRIGGERED):** This is a primary observational study (retrospective cohort), satisfying the inclusion criterion for study design. and **Language (NOT_TRIGGERED):** The article is written in English. and **Outcome (AMBIGUOUS):** The central debate is whether 'parkinsonism' satisfies the inclusion criterion requiring 'Parkinson's is explicitly mentioned as an adverse health outcome.' The criteria also allow for 'Alzheimer's disease or similar diseases as evaluated health outcomes.' Parkinsonism is directly named after and derived from Parkinson's disease; it is defined by the same cardinal features (bradykinesia, rigidity, tremor, postural instability). In the neurological classification, Parkinson's disease is actually a type of parkinsonism (idiopathic parkinsonism). The study specifically examines CO-induced parkinsonism — a recognized clinical entity within the parkinsonism spectrum. The inclusion criteria's 'similar diseases' clause reasonably encompasses CO-induced parkinsonism, as it is the closest neurological analog to Parkinson's disease caused by environmental toxic exposure. The spirit of the inclusion criteria — examining air pollution's role in Parkinson's-like neurological disease — is clearly served by this study. and ### Prior Reviewer Deliberation and **AI Researcher 1 (EXCLUDE):** The argument that parkinsonism ≠ Parkinson's disease has some technical validity, as idiopathic Parkinson's disease is not explicitly named. However, this reasoning is overly narrow and ignores the 'similar diseases' clause in the inclusion criteria. The criteria do not restrict to idiopathic Parkinson's disease only; parkinsonism from CO poisoning is arguably the most directly relevant 'similar disease' given its shared symptomatology. and **AI Researcher 2 (INCLUDE):** This reasoning is more persuasive. The 'similar diseases' clause, the direct terminological relationship between 'parkinsonism' and 'Parkinson's,' the explicit CO exposure, and the study's observational design all support inclusion. CO-induced parkinsonism is well-recognized in the neurological literature as a Parkinson's-related outcome. and ### Conclusion and The study meets all inclusion criteria: English language, primary observational study of humans, explicit CO exposure (one of the three specified pollutants), and parkinsonism as an adverse health outcome related to CO — a condition sharing defining features with Parkinson's disease and covered by the 'similar diseases' clause. The outcome label is AMBIGUOUS rather than CLEARLY_TRIGGERED for exclusion, and given the absence of any clearly triggered exclusion reason and the high relevance of this study to the systematic review's objectives, the lean is toward INCLUDE. The study directly investigates the causal relationship between CO (an air pollutant) and a Parkinson's-like syndrome, which is precisely what the review seeks to capture."
"Choi, Il Saing and Cheon, Hwa Young",1999,Delayed Movement Disorders after Carbon Monoxide Poisoning,European Neurology,10.1159/000007411,LOW,INCLUDE,EXCLUDE," ## Analysis and This is a primary observational study (case series of 242 hospitalized patients with CO poisoning) examining the incidence and characteristics of delayed movement disorders, including parkinsonism, following CO exposure. The applicable framework is PEO (Population: patients with CO poisoning; Exposure: CO; Outcome: parkinsonism and other movement disorders). The article is written in English and published in a peer-reviewed journal. and ### Per-Label Synthesis and - **Language**: NOT_TRIGGERED. Article is fully in English. and - **Population**: NOT_TRIGGERED. Human patients (n=242) examined at a clinical institution, primary observational design. and - **Exposure**: NOT_TRIGGERED. Carbon monoxide (CO) is explicitly and repeatedly mentioned as the exposure of interest and is one of the three specified air pollutants. and - **Outcome**: AMBIGUOUS but leaning toward NOT_TRIGGERED for exclusion. The study uses 'parkinsonism' as the outcome, not 'Parkinson's disease' explicitly. However, the inclusion criteria refer to 'Parkinson's' as an adverse health outcome. In the medical literature and in common usage in systematic reviews on this topic, parkinsonism refers to the clinical syndrome characterized by bradykinesia, rigidity, and postural instability—the same features described here. The inclusion criteria do not specify 'idiopathic Parkinson's disease' and use the shorthand 'Parkinson's,' which reasonably encompasses parkinsonism as a CO-induced adverse neurological outcome. Furthermore, the criteria mention 'Parkinsons hospitalizations' and 'fatality rates for Parkinson's' in a broad usage that suggests the review is not limiting itself to strictly idiopathic PD. and - **Study design**: NOT_TRIGGERED. Primary observational cohort/case series. and ### Prior Reviewer Deliberation"
"Cole-Hunter, Thomas and Zhang, Jiawei and So, Rina and Samoli, Evangelia and Liu, Shuo and Chen, Jie and Strak, Maciej and Wolf, Kathrin and Weinmayr, Gudrun and Rodopolou, Sophia and Remfry, Elizabeth and de Hoogh, Kees and Bellander, Tom and Brandt, Jørgen and Concin, Hans and Zitt, Emanuel and Fecht, Daniela and Forastiere, Francesco and Gulliver, John and Hoffmann, Barbara and Hvidtfeldt, Ulla A. and Jöckel, Karl-Heinz and Mortensen, Laust H. and Ketzel, Matthias and Yacamán Méndez, Diego and Leander, Karin and Ljungman, Petter and Faure, Elodie and Lee, Pei-Chen and Elbaz, Alexis and Magnusson, Patrik K.E. and Pershagen, Göran and Peters, Annette and Rizzuto, Debora and Vermeulen, Roel C.H. and Schramm, Sara and Stafoggia, Massimo and Katsouyanni, Klea and Brunekreef, Bert and Hoek, Gerard and Lim, Youn-Hee and Andersen, Zorana J.",2022,Long-term air pollution exposure and Parkinson's disease mortality in a large pooled European cohort: An ELAPSE study,Environment International,10.1016/j.envint.2022.107667,VERY_HIGH,INCLUDE,INCLUDE," The study meets all inclusion criteria. and - **Language:** The article is written in English. and - **Study Design:** The study is a secondary observational study, specifically a pooled analysis of seven prospective human cohorts in Europe, which aligns with the inclusion criteria for observational studies. and - **Exposure:** The study explicitly investigates exposure to Nitrogen Dioxide (NO2) and Ozone (O3), which are two of the required pollutants. This is mentioned in the abstract: ""Annual mean residential concentrations of fine particulate matter (PM2.5), nitrogen dioxide (NO2), black carbon (BC), and ozone (O3)..."" and - **Outcome:** The study explicitly mentions and investigates Parkinson's disease (PD) as the primary health outcome. The title is ""Long-term air pollution exposure and Parkinson's disease mortality..."" and the outcome is defined in the methods section as ""PD mortality from mortality registries... using the International Classification of Diseases (ICD)-9: 332 (PD); and, ICD-10: G20 (PD)..."". and - **Exposure-Outcome Link:** The study's primary objective is to investigate the association between the specified air pollutants and Parkinson's disease mortality. The abstract states, ""We examined the association between long-term exposure to ambient air pollution and PD mortality..."" and the results present hazard ratios for this association."
"Feng, YanMei and Li, MengJie and Hao, XiaoYan and Ma, DongRui and Guo, MengNan and Zuo, ChunYan and Li, ShuangJie and Liang, YuanYuan and Hao, ChenWei and Wang, ZhiYun and Sun, YueMeng and Qi, ShaSha and Sun, ShiLei and Shi, ChangHe",2024,"Air pollution, greenspace exposure and risk of Parkinson's disease: a prospective study of 441,462 participants",Journal of Neurology,10.1007/s00415-024-12492-0,VERY_HIGH,INCLUDE,INCLUDE," The study is included because it meets all specified inclusion criteria. and 1. **Language:** The article is written in English. and 2. **Study Design:** It is a primary observational study, specifically a prospective cohort study, conducted on a human population of 441,462 participants from the UK Biobank. and 3. **Exposure:** The study explicitly investigates exposure to Nitrogen Dioxide (NO2), which is one of the required pollutants (CO, O3, or NO2). This is mentioned in the abstract, methods, and results sections. and 4. **Outcome:** The primary outcome of the study is the incidence of Parkinson's Disease (PD), which is explicitly mentioned throughout the article, including the title and abstract. and 5. **Exposure-Outcome Relationship:** The study directly investigates the relationship between exposure to NO2 and the risk of developing Parkinson's Disease. The abstract clearly states: 'Our findings indicate that an IQR increase in ambient NO2... concentrations was associated with risk of PD development'. and Since the study meets all inclusion criteria and no exclusion criteria were provided, it is eligible for inclusion."
"Fleury, Vanessa and Himsl, Rebecca and Joost, Stéphane and Nicastro, Nicolas and Bereau, Matthieu and Guessous, Idris and Burkhard, Pierre R.",2021,Geospatial analysis of individual-based Parkinson’s disease data supports a link with air pollution: A case-control study,Parkinsonism and Related Disorders,10.1016/j.parkreldis.2020.12.013,VERY_HIGH,INCLUDE,INCLUDE," The study meets all inclusion criteria. and - **Language:** The article is written in English. and - **Study Design:** The study is an observational case-control study, which is an eligible study design. The title identifies it as a 'case-control study', and the methods section confirms this design by identifying Parkinson's disease cases (n=1115) and controls (n=12,614) from a human population in Geneva, Switzerland. and - **Exposure:** The study investigates exposure to Nitrogen Dioxide (NO2), which is one of the specified pollutants. The abstract, methods, and results sections all explicitly mention and analyze NO2 concentrations. For example, the methods section states, 'Concentrations of dioxide nitrogen (NO2) and particulate matters (PM₁₀) were available...'. and - **Outcome:** The study explicitly investigates Parkinson's disease (PD) as the primary adverse health outcome. The title and abstract clearly state the focus is on PD. and - **Exposure-Outcome Link:** The study directly investigates the relationship between PD and NO2. The conclusion states, 'A positive association was detected between PD clusters and air pollution.' The results section quantifies this association: 'The NO2 concentration was higher by 3.6μg/m3 (p < 0.001) in the adjusted hotspots than in the adjusted PD coldspots.'"
"Goria, Sarah and Pascal, Mathilde and Corso, Magali and Le Tertre, Alain",2021,Short-term exposure to air pollutants increases the risk of hospital admissions in patients with Parkinson's disease – A multicentric study on 18 French areas,Atmospheric Environment,10.1016/j.atmosenv.2021.118668,VERY_HIGH,INCLUDE,INCLUDE," The study is included as it meets all specified inclusion criteria. and 1. **Language**: The article is written in English. and 2. **Study Design**: The study is a primary observational study, specifically a 'multicentric time-series design' conducted on a human population in 18 French areas, as described in the 'Statistical analyses' section. and 3. **Exposure**: The study investigates exposure to Nitrogen Dioxide (NO₂) and Ozone (O₃), which are listed in the inclusion criteria. The abstract states the objective is to analyze the association of 'air pollution (PM₁₀, PM₂.₅, NO₂ and ozone)' with the outcome. and 4. **Outcome**: Parkinson's disease (PD) is explicitly mentioned as the adverse health outcome. The study focuses on 'hospital admissions for Parkinson's disease (PD)', as stated in the title and abstract. and 5. **Exposure-Outcome Relationship**: The study explicitly investigates Parkinson's disease as a health outcome related to the specified air pollutants. The conclusion states, 'Our results suggest a short-term association between PM, NO₂, ozone and daily hospital admissions due to PD.'"
