Title,Year,Authors,Included_(Y=yes_N=No),Comments
Adsorption of water at the SrO surface of ruthenates,2016,"Halwidl, Daniel; Stöger, Bernhard; Mayr-Schmölzer, Wernfried; Pavelec, Jiri; Fobes, David; Peng, Jin; Mao, Zhiqiang; Parkinson, Gareth S.; Schmid, Michael; Mittendorfer, Florian; Redinger, Josef; Diebold, Ulrike",N,The article does not mention air pollutants or Parkinson's disease.
Air Pollutants and Risk of Parkinson’s Disease among Women in the Sister Study,2024,"Cao, Z.; Yuan, Y.; White, A.J.; Li, C.; Luo, Z.; D’Aloisio, A.A.; Huang, X.; Kaufman, J.D.; Sandler, D.P.; Chen, H.",Y,The study investigates Parkinson's disease related to nitrogen dioxide NO and meets all inclusion criteria.
Air pollution & the brain: Subchronic diesel exhaust exposure causes neuroinflammation and elevates early markers of neurodegenerative disease,2011,"Levesque, Shannon; Surace, Michael J.; McDonald, Jacob; Block, Michelle L.",N,"The study focuses on diesel exhaust and neuroinflammation in rats, not on human populations or the specified air pollutants."
"Air pollution and children: neural and tight junction antibodies and combustion metals, the role of barrier breakdown and brain immunity in neurodegeneration",2015,"Calderón-Garcidueñas, Lilian; Vojdani, Aristo; Blaurock-Busch, Eleonore; Busch, Yvette; Friedle, Albrecht; Franco-Lira, Maricela; Sarathi-Mukherjee, Partha; Martínez-Aguirre, Xavier; Park, Su-Bin; Torres-Jardón, Ricardo; D'Angiulli, Amedeo",N,"No mention of the specified air pollutants CO, O3, NO2 and focuses on PM2.5 instead."
Air pollution and detrimental effects on children's brain. The need for a multidisciplinary approach to the issue complexity and challenges,2014,"Calderón-Garcidueñas, Lilian; Torres-Jardón, Ricardo; Kulesza, Randy J.; Park, Su-Bin; D'Angiulli, Amedeo",N,No mention of Parkinson's disease or the specified air pollutants.
Air pollution and DOHaD: The health of the next generation with emphasis on the Brazilian population,2023,"Saldiva, P.H.; Santée, K.; Fajerstzjan, L.; Matera Veras, M.M.",N,No specific mention of air pollutants or Parkinson's as an adverse health outcome.
Air pollution and headache disorders,2022,"Garg, D.; Mehndiratta, M.M.; Wasay, M.; Aggarwal, V.",N,No mention of Parkinson's as an adverse health outcome related to air pollution.
Air pollution and impulsive choice in aging: evidence from delay discounting,2025,"Kilcullen, Maya R.; Luistro, Jamie-Nicole; Kos, Melanie; Mennis, Jeremy; Smith, David V.; Olson, Ingrid R.",N,"No relevant air pollutants CO, O3, NO2 mentioned only PM2.5 is discussed."
"Air pollution and neurological diseases, current state highlights",2024,"Roy, Raymond; D'Angiulli, Amedeo",N,The study is a mini review and does not present original observational research.
Air Pollution and Parkinson Disease in a Population-Based Study,2024,"Krzyzanowski, B.; Mullan, A.F.; Turcano, P.; Camerucci, E.; Bower, J.H.; Savica, R.",N,"The study focuses on PM2.5, which is not one of the specified air pollutants CO, O3, NO2 for inclusion."
Air pollution and Parkinson's disease - Evidence and future directions,2017,"Palacios, N.",N,The article is a review and does not present original observational study data.
Air pollution and Parkinson's disease: A prospective cohort study with sex-stratified analysis in the UK biobank,2025,"Liu, J.; Pan, M.; Shi, H.; Sun, M.; Chen, A.; Feng, R.",N,"Particulate matter PM is mentioned instead of the required air pollutants CO, O3, NO2 for inclusion."
Air pollution and Parkinson's disease: A systematic review and meta-analysis up to 2018,2019,"Kasdagli, Maria-Iosifina; Katsouyanni, Klea; Dimakopoulou, Konstantina; Samoli, Evangelia",N,"The article is a systematic review and meta-analysis, which does not meet the inclusion criteria for observational studies."
Air Pollution and Risk of Parkinson's Disease in a Large Prospective Study of Men,2017,"Palacios, Natalia; Fitzgerald, Kathryn C.; Hart, Jaime E.; Weisskopf, Marc; Schwarzschild, Michael A.; Ascherio, Alberto; Laden, Francine",N,"The study focuses on particulate matter PM and does not mention the required air pollutants CO, O3, NO2 related to Parkinson's."
Air Pollution and the Risk of Parkinson's Disease: A Review,2022,"Murata, Hiromi; Barnhill, Lisa M.; Bronstein, Jeff M.",N,"The article is a review, not an observational study, and does not meet the inclusion criteria."
Air pollution and your brain: what do you need to know right now,2015,"Calderón-Garcidueñas, Lilian; Calderón-Garcidueñas, Ana; Torres-Jardón, Ricardo; Avila-Ramírez, José; Kulesza, Randy J.; Angiulli, Amedeo D.",N,"No mention of specified air pollutants CO, O3, NO2 and focuses on particulate matter instead."
Air Pollution as a Risk Factor of Neurodegenerative Diseases and Stroke: Mechanisms of Action and Implications,2025,"Chaves, J.C.S.; Peall, I.W.; Vivian, E.R.; White, A.R.",N,"This is a review chapter, not an observational study, and does not meet inclusion criteria."
Air pollution exposure and mortality from neurodegenerative diseases in the Netherlands: A population-based cohort study,2024,"Peters, S.; Bouma, F.; Hoek, G.; Janssen, N.; Vermeulen, R.",N,"Parkinson's is mentioned, but no association with air pollution is found, failing the criteria for relevance."
"Air pollution nanoparticle and alpha-synuclein fibrils synergistically decrease glutamate receptor A1, depending upon nPM batch activity",2023,"Zhang, Hongqiao; D'Agostino, Carla; Tulisiak, Christopher; Thorwald, Max A.; Bergkvist, Liza; Lindquist, Allison; Meyerdirk, Lindsay; Schulz, Emily; Becker, Katelyn; Steiner, Jennifer A.; Cacciottolo, Mafalda; Kwatra, Mohit; Rey, Nolwen L.; Escobar Galvis, Martha L.; Ma, Jiyan; Sioutas, Constantinos; Morgan, Todd E.; Finch, Caleb E.; Brundin, Patrik",N,"The study is experimental, not observational, and does not meet the inclusion criteria."
"Air pollution, a rising environmental risk factor for cognition, neuroinflammation and neurodegeneration: The clinical impact on children and beyond",2016,"Calderón-Garcidueñas, L.; Leray, E.; Heydarpour, P.; Torres-Jardón, R.; Reis, J.",N,The study does not mention Parkinson's as an adverse health outcome related to air pollution.
"Air pollution, greenspace exposure and risk of Parkinson's disease: a prospective study of 441,462 participants",2024,"Feng, Y.; Li, M.; Hao, X.; Ma, D.; Guo, M.; Zuo, C.; Li, S.; Liang, Y.; Hao, C.; Wang, Z.; Sun, Y.; Qi, S.; Sun, S.; Shi, C.",N,No air pollutant mentioned from the specified list only particulate matter is discussed.
"Air pollution, surrounding green, road proximity and Parkinson's disease: A prospective cohort study",2021,"Yu, Z.; Wei, F.; Zhang, X.; Wu, M.; Lin, H.; Shui, L.; Jin, M.; Wang, J.; Tang, M.; Chen, K.",N,"The study only mentions particulate matter PM and does not include the required air pollutants CO, O3, NO2 related to Parkinson's."
"Air Pollution, Ultrafine Particles, and Your Brain: Are Combustion Nanoparticle Emissions and Engineered Nanoparticles Causing Preventable Fatal Neurodegenerative Diseases and Common Neuropsychiatric Outcomes?",2022,"Calderón-Garcidueñas, Lilian; Ayala, Alberto",N,"No mention of CO, O3, or NO2 focuses on PM and UFP instead."
Air pollution: mechanisms of neuroinflammation and CNS disease,2009,"Block, Michelle L.; Calderón-Garcidueñas, Lilian",Y,"The abstract mentions Parkinson's disease and links it to air pollution, meeting the inclusion criteria."
Air Pollution: Possible Interaction between the Immune and Nervous System?,2022,"Serafini, M.M.; Maddalon, A.; Iulini, M.; Galbiati, V.",N,The article is a review paper and does not focus on observational studies as required.
Airborne fine particulate matter induces cognitive and emotional disorders in offspring mice exposed during pregnancy,2021,"Zhao, Chao; Xie, Peisi; Yong, Ting; Huang, Wei; Liu, Jianjun; Wu, Desheng; Ji, Fenfen; Li, Min; Zhang, Doudou; Li, Ruijin; Dong, Chuan; Ma, Juan; Dong, Zheng; Liu, Sijin; Cai, Zongwei",N,"No air pollutant mentioned only PM2.5 is discussed, which is excluded as it does not meet the specified criteria."
"Airborne inflammatory factors: ""from the nose to the brain""",2010,"Tonelli, Leonardo H.; Postolache, Teodor T.",N,"No specific air pollutants CO, O3, NO2 mentioned focuses on inflammatory factors and neurological disorders without linking to air pollution."
"Airborne, Vehicle-Derived Fe-Bearing Nanoparticles in the Urban Environment: A Review",2019,"Gonet, Tomasz; Maher, Barbara A.",N,The article is a review and does not focus on observational studies or explicitly mention the required air pollutants.
"Alzheimer and Parkinson diseases, frontotemporal lobar degeneration and amyotrophic lateral sclerosis overlapping neuropathology start in the first two decades of life in pollution exposed urbanites and brain ultrafine particulate matter and industrial nanoparticles, including Fe, Ti, Al, V, Ni, Hg, Co, Cu, Zn, Ag, Pt, Ce, La, Pr and W are key players. Metropolitan Mexico City health crisis is in progress",2023,"Calderón-Garcidueñas, L.; Stommel, E.W.; Torres-Jardón, R.; Hernández-Luna, J.; Aiello-Mora, M.; Gonzalez-Maciel, A.; Reynoso-Robles, R.; Pérez-Guillé, B.E.; Silva-Pereyra, H.G.; Tehuacanero-Cuapa, S.; Rodríguez-Gómez, A.; Lachmann, I.; Galaz-Montoya, C.; Doty, R.L.; Roy, A.; Mukherjee, P.S.",N,"No specific mention of CO, O3, or NO2 as air pollutants focuses on particulate matter and nanoparticles."
"Alzheimer's disease and alpha-synuclein pathology in the olfactory bulbs of infants, children, teens and adults ≤ 40 years in Metropolitan Mexico City. APOE4 carriers at higher risk of suicide accelerate their olfactory bulb pathology",2018,"Calderón-Garcidueñas, L.; Gonzalez-Maciel, A.; Reynoso-Robles, R.; Kulesza, R.; Mukherjee, P.S.; Torres-Jardón, R.; Rönkkö, T.; Doty, R.L.",N,The study focuses on Alzheimer's and does not explicitly mention Parkinson's as an adverse health outcome related to air pollution.
"Alzheimer’s disease: the role of extrinsic factors in its development, an investigation of the environmental enigma",2023,"Suresh, S.; Ankul Singh, A.; Rushendran, R.; Chitra, C.; Prajapati, B.",N,"The study focuses on Alzheimer's disease, not Parkinson's, and does not link air pollutants to Parkinson's as required."
"Alzheimer's, Parkinson's, Frontotemporal Lobar Degeneration, and Amyotrophic Lateral Sclerosis Start in Pediatric Ages: Ultrafine Particulate Matter and Industrial Nanoparticles Are Key in the Early-Onset Neurodegeneration: Time to Invest in Preventive Medicine",2025,"Calderón-Garcidueñas, Lilian; González-Maciel, Angélica; Reynoso-Robles, Rafael; Cejudo-Ruiz, Fredy Rubén; Silva-Pereyra, Héctor G.; Gorzalski, Andrew; Torres-Jardón, Ricardo",N,"No air pollutant from the specified list CO, O3, NO2 is mentioned only ultrafine particulate matter is discussed."
Amantadine improves delayed neuropsychiatric sequelae of carbon monoxide poisoning: A case report,2019,"Nakano, T.; Hasegawa, T.; Suzuki, D.; Motomura, E.; Okada, M.",N,"The article is a case report, not an observational study, and does not meet the inclusion criteria."
Ambient Air Pollution and Parkinson’s Disease and Alzheimer’s Disease: An Updated Meta-Analysis,2025,"Xie, C.; Xia, X.; Wang, K.; Yan, J.; Bai, L.; Guo, L.; Li, X.; Wu, S.",N,"The study is a meta-analysis, which is a non-observational study type and does not meet inclusion criteria."
Ambient air pollution exposures and risk of parkinson disease,2016,"Liu, R.; Young, M.T.; Chen, J.-C.; Kaufman, J.D.; Chen, H.",N,No mention of Parkinson's as an adverse health outcome related to the specified air pollutants.
Ambient air pollution increases the risk of cerebrovascular and neuropsychiatric disorders through induction of inflammation and oxidative stress,2020,"Hahad, O.; Lelieveld, J.; Birklein, F.; Lieb, K.; Daiber, A.; Münzel, T.",Y,The study mentions Parkinson's as an adverse health outcome related to air pollution and discusses relevant pollutants.
Ambient particulate matter and its potential neurological consequences,2013,"Loane, C.; Pilinis, C.; Lekkas, T.D.; Politis, M.",N,"No air pollutant mentioned only discusses particulate matter, which is excluded."
Ambiental Factors in Parkinson’s Disease Progression: A Systematic Review,2023,"Bougea, A.; Papagiannakis, N.; Simitsi, A.-M.; Panagiotounakou, E.; Chrysovitsanou, C.; Angelopoulou, E.; Koros, C.; Stefanis, L.",N,"This is a systematic review, not an observational study, and does not meet inclusion criteria."
An association study between heme oxygenase-1 genetic variants and Parkinson’s disease,2014,"Ayuso, P.; Martínez, C.; Pastor, P.; Lorenzo-Betancor, O.; Luengo, A.; Jiménez-Jiménez, F.J.; Alonso-Navarro, H.; Agúndez, J.A.G.; García-Martín, E.",N,No air pollutants mentioned focuses on genetic variants and not on air pollution's relation to Parkinson's.
An Insight into the Molecular Mechanism of Mitochondrial Toxicant-induced Neuronal Apoptosis in Parkinson’s Disease,2023,"Brahadeeswaran, S.; Lateef, M.; Latchoumycandane, L.",N,The article is a review and does not mention any air pollutants.
An intracellular adenine nucleotide binding site inhibits guanyly cyclase C by a guanine nucleotide-dependent mechanism,1996,"Parkinson, S. J.; Waldman, S. A.",N,"The article does not mention air pollutants or Parkinson's disease, failing to meet inclusion criteria."
Analysis of Brain Functional Connectivity in Patients with Delayed Encephalopathy after Carbon Monoxide Poisoning Based on Functional Near-Infrared Spectroscopy Technology,2025,"Yang, X.; Zeng, L.; Li, J.; Huang, Z.; He, W.; Wang, X.",N,"The study focuses on cognitive dysfunction after CO poisoning, not on Parkinson's as an adverse health outcome."
Anti-inflammatory effects of thymoquinone in activated BV-2 microglial cells,2015,"Taka, E.; Mazzio, E.A.; Goodman, C.B.; Redmon, N.; Flores-Rozas, H.; Reams, R.; Darling-Reed, S.; Soliman, K.F.A.",N,The study does not mention Parkinson's or any of the specified air pollutants.
Antioxidant mobilization in response to oxidative stress: A dynamic environmental-nutritional interaction,2001,"Elsayed, N.M.",N,No mention of air pollutants or Parkinson's as an adverse health outcome.
Antioxidants in the practice of medicine; what should the clinician know?,2016,"Whayne, T.F.; Saha, S.P.; Mukherjee, D.",N,"The article does not mention air pollutants or Parkinson's disease, focusing instead on antioxidants and oxidative stress."
Antiviral phenylpropanoid glycosides from the medicinal plant Markhamia lutea,1998,"Kernan, M. R.; Amarquaye, A.; Chen, J. L.; Chan, J.; Sesin, D. F.; Parkinson, N.; Ye, Z.; Barrett, M.; Bales, C.; Stoddart, C. A.; Sloan, B.; Blanc, P.; Limbach, C.; Mrisho, S.; Rozhon, E. J.",N,"The article does not mention air pollutants or Parkinson's disease, focusing instead on antiviral compounds."
Anxiety affecting parkinsonian outcome and motor efficiency in adults of an Ohio community with environmental airborne manganese exposure,2012,"Bowler, Rosemarie M.; Harris, Matthew; Gocheva, Vihra; Wilson, Katherine; Kim, Yangho; Davis, Stephanie I.; Bollweg, George; Lobdell, Danelle T.; Ngo, Long; Roels, Harry A.",N,"The study focuses on manganese exposure, not the specified air pollutants CO, O3, NO2 related to Parkinson's."
Aphonia due to vocal cord impairment induced by carbon monoxide poisoning,2014,"Koga, Shunsuke; Sadahiro, Tomohito; Ito, Shoichi; Asahina, Masato; Oda, Shigeto",N,"The study focuses on a case report of vocal cord impairment, not on Parkinson's disease or its relation to air pollutants."
"Aplindore (DAB-452), a high affinity selective dopamine D2 receptor partial agonist",2006,"Heinrich, Julia N.; Brennan, Julie; Lai, Margaret H.; Sullivan, Kelly; Hornby, Geoff; Popiolek, Mike; Jiang, Li-Xin; Pausch, Mark H.; Stack, Gary; Marquis, Karen L.; Andree, Terrance H.",N,"The study focuses on a drug and its pharmacology, not on observational research related to air pollution and Parkinson's."
Application and prospects of butylphthalide for the treatment of neurologic diseases,2019,"Chen, X.-Q.; Qiu, K.; Liu, H.; He, Q.; Bai, J.-H.; Lu, W.",N,The study focuses on butylphthalide and does not investigate air pollutants or their relation to Parkinson's disease.
Application of acyzol in the context of zinc deficiency and perspectives,2019,"Aliev, G.; Li, Y.; Chubarev, V.N.; Lebedeva, S.A.; Parshina, L.N.; Trofimov, B.A.; Sologova, S.S.; Makhmutova, A.; Ávila-Rodriguez, M.F.; Klochkov, S.G.; Galenko-Yaroshevsky, P.A.; Tarasov, V.V.",N,The study does not mention Parkinson's or any of the specified air pollutants.
Assay of protein and peptide adducts of cholesterol ozonolysis products by hydrophobic and click enrichment methods,2014,"Windsor, K.; Genaro-Mattos, T.C.; Miyamoto, S.; Stec, D.F.; Kim, H.-Y.H.; Tallman, K.A.; Porter, N.A.",Y,"The study mentions Parkinson's disease and ozone exposure, meeting the inclusion criteria."
Assessing traffic-related air pollution-induced fiber-specific white matter degradation associated with motor performance declines in aged rats,2023,"Chen, Ting-Chieh; Lo, Yu-Chun; Li, Ssu-Ju; Lin, Yi-Chen; Chang, Ching-Wen; Liang, Yao-Wen; Laiman, Vincent; Hsiao, Ta-Chih; Chuang, Hsiao-Chi; Chen, You-Yin",N,"Study focuses on rats, not human population does not meet inclusion criteria."
"Assessment of matrix effects on methyl benzoate, a potential biomarker for detection of outgassed semi-volatiles from mold in indoor building materials",2008,"Parkinson, Don-Roger; Churchill, Tonia J.; Rolls, Wyn",N,The study does not mention any air pollutants or Parkinson's as an adverse health outcome.
"Association between air quality and neurodegenerative diseases in River Sacco Valley: A retrospective cohort study in Latium, central Italy",2025,"Trentalange, A.; Badaloni, C.; Porta, D.; Michelozzi, P.; Renzi, M.",Y,"The study investigates Parkinson's disease related to air pollutants NO and O, meeting all inclusion criteria."
